concept,count,values
Treatment Name,66,"['Dhori Virus | Vehicle Control;SARS CoV | Vehicle Control', 'SARS CoV MA15 | Mock Infection', 'SARS CoV MA15 | Mock Infection;icSARS Bat SRBD | Mock Infection;icSARS CoV Urbani | Mock Infection', 'SARS CoV MA15 | Mock Infection;icSARS dNSP16 | Mock Infection', 'SARS CoV MA15 | Mock Infection;icSARS dORF6 | Mock Infection', 'SARS small deletion (d5) | vehicle control;SARS wild type | vehicle control;SARS no envelope | vehicle control;SARS small deletion (d3) | vehicle control', 'SARS-wt | Vehicle control;SARS-mutPBM | Vehicle control', 'icSARS Bat SRBD | Mock Infection;CA04 (H1N1) | Mock Infection;icSARS CoV Urbani | Mock Infection;icSARS dORF6 | Mock Infection', 'icSARS Bat SRBD | Mock Infection;icSARS CoV Urbani | Mock Infection', 'icSARS Bat SRBD | Mock Infection;icSARS CoV Urbani | Mock Infection;CA04 (H1N1) | Mock Infection;icSARS dORF6 | Mock Infection', 'icSARS dORF6 | Mock Infection;icSARS CoV Urbani | Mock Infection', 'rSARS-CoV-DeltaEnvelope | SARS CoV;rSARS-CoV-DeltaEnvelope | Vehicle control;SARS CoV | Vehicle control']"
Biosets,66,"[2, 4, 6, 8, 16, 19, 22, 24, 28, 34]"
Experiment Type,66,"['Protein Quantification', 'Transcript Quantification']"
Experiment Title,66,"['DediegoM_AUM_01_Mouse_SARS_Expression', 'EjuanesL_AUM_01_VE6_MA104_Expression', 'EjuanesL_AUM_02_Mouse_Lung_Expression', 'SCL005-P', 'SCL005-R', 'SCL006-R', 'SHAE002-R', 'SHAE003-R', 'SHAE004-R', 'SM001-P', 'SM001-R', 'SM003-R', 'SM004-R', 'SM007-R', 'SM009-R', 'SM012-R', 'SM014-R', 'SM015-R', 'SM019-R', 'SM020-R', 'Tseng01_Infected_2B4_Expression']"
Study Title,66,"[None, 'DediegoM_AUM_01:  Severe Acute Respiratory Syndrome Coronaviruses with Mutations in the E Protein Are Attenuated and Promising Vaccine Candidates', 'EjuanesL_AUM_01:  Severe acute respiratory syndrome coronavirus envelope protein regulates cell stress response and apoptosis.', 'EjuanesL_AUM_02:  The PDZ-binding motif of severe acute respiratory syndrome coronavirus envelope protein is a determinant of viral pathogenesis.', 'SCL005: SARS Urbani or delta ORF6 Urbani infection in Calu3 cells with variable doses and times post infection.', 'SCL006: icSARS urbani vs icSARS BatSRBD mutant infection in Calu3 cell: A time course', 'SHAE005: SARS-CoV, deltaORF6, BatSRBD mutants and A/CA/04/2009 (H1N1) infection of HAE cells: A time course', 'SM001: SARS MA15 infection in C57BL6 mice with variable doses and times post infection.', 'SM003: icSARS, SARS MA15 or SARS BatSRBD mutant virus infection of C57 Black 6 mice: A time course', 'SM004: SARS MA15 infection in C57 Black 6, TIMP1 and Serpine1 (PAI1) knock-out mice: A time course', 'SM007: SARS MA15 infection in CXCR3 knockout mutant of C57 Black 6 Mice.', 'SM009: SARS MA15 infection in C57 Black 6 and PLAT knock-out mice: A time course', 'SM012: SARS deltaORF6 mutant infection in C57 Black 6 Mice: A time course', 'SM014: SARS nsp16 mutant infection in C57 Black 6 Mice: A time course', 'SM015: SARS MA15 infection in Tnfrsf1a/1b knockout mutant of C57 Black 6 Mice.', 'SM019: SARS MA15 infection in Tnfrsf1b knockout mutant of C57 Black 6 Mice.', 'SM020: SARS MA15 infection in ppp1r14c knockout mutant of C57 Black 6 Mice.', 'TsengCK_UT_01:  Dynamic Innate Immune Responses of Human Bronchial Epithelial Cells to Severe Acute Respiratory Syndrome-Associated Coronavirus Infection']"
Strain,66,"[None, 'Calu-3 (2B-4) cell', 'Calu-3 cell', 'HAE cell', 'Vero E6 cell']"
Study Name,66,"[None, 'DediegoM_AUM_01', 'EjuanesL_AUM_01', 'EjuanesL_AUM_02', 'SCL005', 'SCL006', 'SHAE005', 'SM001', 'SM003', 'SM004', 'SM007', 'SM009', 'SM012', 'SM014', 'SM015', 'SM019', 'SM020', 'TsengCK_UT_01']"
Treatment Type,66,"['Infectious Agent', 'icSARS Bat SRBD | Mock Infection;icSARS CoV Urbani | Mock Infection;CA04 (H1N1) | Mock Infection;icSARS dORF6 | Mock Infection']"
Treatment Amount,66,"[None, '0.1 MOI', '0.2 MOI', '1.00E+00 MOI', '1.00E+02 PFU;1.00E+03 PFU;1.00E+04 PFU;1.00E+05 PFU', '1.00E+04 PFU', '1.00E+04 PFU;1.00E+05 PFU', '1.00E+05 PFU', '100000 PFU', '2.00E+00 MOI', '2.00E+00 MOI;1.00E+00 MOI', '5.00E+00 MOI']"
Experiment ID,66,"[131, 134, 137, 138, 139, 140, 143, 144, 145, 146, 159, 160, 163, 165, 173, 182, 185, 209, 210, 211, 212, 100000138]"
Experiment Name,66,"['DediegoM_AUM_01_Mouse_SARS_Expression', 'EjuanesL_AUM_01_VE6_MA104_Expression', 'EjuanesL_AUM_02_Mouse_Lung_Expression', 'GSE47961', 'SCL005-P', 'SCL005-R', 'SCL006-R', 'SHAE002-R', 'SHAE003-R', 'SHAE004-R', 'SM001-P', 'SM001-R', 'SM003-R', 'SM004-R', 'SM007-R', 'SM009-R', 'SM012-R', 'SM014-R', 'SM015-R', 'SM019-R', 'SM020-R', 'Tseng01_Infected_2B4_Expression']"
Organism,66,"['Chlorocebus sabaeus', 'Homo sapiens', 'Homo sapiens;Influenza A virus', 'Human', 'Mus musculus']"
Treatment Duration,66,"['0;12;24;30;36;3;48;54;60;72;7', '0;12;24;30;36;48;54;60;72;7', '0;12;24;36;48;60;72;84;96;18;6', '0;24;48;60;72;84;96;12;18;36;6', '12;48;24', '24;48;96;168', '24;60;0;96;48;6;18;72;84;36;12', '48', '48;96;168', '7;65;24;15', '96;168']"
Public Identifier,66,"['GSE17400', 'GSE30589', 'GSE33266', 'GSE33267', 'GSE37827', 'GSE40824', 'GSE40827', 'GSE43301', 'GSE47960', 'GSE47961', 'GSE47962', 'GSE49262', 'GSE49263', 'GSE50000', 'GSE50878', 'GSE51386', 'GSE51387', 'GSE52920', 'GSE59185', 'PASS00430', 'PASS00433']"
