concept,count,values
resource.creators.creator.familyName.@value,27,"['Abadi', 'Blanke', 'Brinkhof', 'Brownlee', 'Bréon', 'Ciais', 'Davis', 'Dellaert', 'Deng', 'Feldman', 'Fine', 'Françoise', 'Gurriaran', 'Hong', 'Janssens', 'Kanis', 'Kooistra', 'Krugers', 'Kuiper', 'Liu', 'Murre', 'Noordegraaf', 'Obersteiner', 'Olthuis', 'Penuelas', 'Perehudoff', 'Reinders Folmer', 'Ridderinkhof', 'Tanaka', 'Wang', 'de Bruijn', 'de Wit', 'van Rooij', 'van Wissen']"
resource.dates.date.dateType,27,['Issued']
resource.descriptions.description.descriptionType,27,['Abstract']
resource.creators.creator.creatorName.@value,27,"['A.L. de Bruijn', 'A.M. Kanis', 'Adam Fine', 'Anne Leonore de Bruijn', 'B. van Rooij', 'Benjamin van Rooij', 'C.F. Reinders Folmer', 'Chaopeng Hong', 'David Abadi', 'E.B. Kooistra', 'E.H. Olthuis', 'Elke H. Olthuis', 'Emmeke B. Kooistra', 'François-Marie Bréon', 'H.J. Krugers', 'Ivan Janssens', 'J.J. Noordegraaf', 'J.M.J. Murre', 'Josep Penuelas', 'K.R. Ridderinkhof', 'Katsumasa Tanaka', 'L.P. Brinkhof', 'Leon van Wissen', 'Léna Gurriaran', 'M.A. Brownlee', 'M.E. Kuiper', 'Malouke E. Kuiper', 'Megan A. Brownlee', 'Michael Obersteiner', 'Philippe Ciais', 'S. de Wit', 'S.K. Perehudoff', 'Steven J. Davis', 'Stijn Dellaert', 'T. Blanke', 'Yann Françoise', 'Yilong Wang', 'Yuval Feldman', 'Zhu Deng', 'Zhu Liu']"
resource.alternateIdentifiers.alternateIdentifier.alternateIdentifierType,27,['URL']
resource.subjects.subject.@value,27,"['Adherence', 'Anger', 'Anxiety', 'Built Environment', 'COVID -19', 'COVID-19', 'COVID-19 (coronavirus disease 2019)', 'COVID-19 anxiety', 'COVID-19 measures', 'COVID-19 pandemic response', 'Compliance', 'Conspiracy Mentality Questionnaire', 'Coronavirus infection', 'Covid', 'Covid-19 fear', 'Creative Reasoning', 'Deterrence', 'Earth Sciences not elsewhere classified', 'Emotions', 'Human Rights Law', 'Impulsivity', 'Industry', 'Inequality index', 'Israel', 'Moral Reasoning', 'Natural Gas Consumption', 'Netherlands', 'Obligation to Obey the Law', 'Political Orientation', 'Procedural Justice', 'Public Health', 'Right to Health', 'Social Media Online', 'Social Norms', 'Social distancing', 'Social norms', 'Subjective Social Status', 'Threat estimation', 'Trust in media', 'Trust in science', 'United States', 'World Trade Organization', 'amsterdam', 'appraisal theory', 'capacity to comply', 'citizen diaries', 'co-well', 'community archives', 'compliance', 'compliance theory', 'conspiracy beliefs', 'conspiracy mentality', 'contempt', 'coronavirus', 'creativity research', 'design', 'deterrence', 'emotions in politics', 'health', 'hygiene measures', 'impulsivity', 'legal knowledge', 'legitimacy', 'lockdown conditions', 'mental health', 'mitigation measures', 'need for closure', 'negative emotions', 'news headlines', 'obligation to obey the law', 'online communities', 'opportunity to violate', 'perceived ageism', 'political psychology', 'populism', 'populist attitudes', 'prosocial behavior', 'public health', 'public history', 'punishment', 'rational choice', 'realistic threat', 'self-perceptions of aging', 'social distancing and stay-at-home orders', 'social identity', 'social norms', 'strain theory', 'successful aging', 'symbolic threat', 'the Netherlands', 'threat cues Fear', 'trade negotiations', 'trust in media', 'trust in science']"
resource.resourceType.resourceTypeGeneral,27,"['Dataset', 'Other']"
resource.publicationYear.@value,27,"['2020', '2021', '2022', '2023']"
resource.publisher.@value,27,"['University of Amsterdam / Amsterdam University of Applied Sciences', 'figshare']"
resource.titles.title.@value,27,"['A Dataset of Social-Psychological and Emotional Reactions during the COVID-19 Pandemic across Four European Countries', 'Compliance with COVID-19 mitigation measures in the Netherlands', 'Corona in the City dataset', 'Cross-Theoretical Compliance: An Integrative Compliance Analysis of COVID-19 Mitigation Responses in Israel', 'Daily natural gas flows', 'METARECORD: Changes in Perceived Ageism during the COVID-19 Pandemic: Impact on Quality of Life and Mental Well-being Among Older Adults', 'Social Distancing in America: Compliance with COVID-19 mitigation measures in the United States', 'Supplemental Information-Human rights framing at WTO for Covid vaccines', 'What can we learn from corona times? Fragments from the Internet']"
