concept,count,values
properties.processingLevel,9,['INT-PKG']
properties.relativeOrbitNumber,9,[34]
properties.legend,9,"['https://flatsim.cnes.fr/data/SHOWCASE/2021/02/09/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-09_2021-03-05/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-09_2021-03-05_LGD_ALL.png', 'https://flatsim.cnes.fr/data/SHOWCASE/2021/02/21/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-17/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-17_LGD_ALL.png', 'https://flatsim.cnes.fr/data/SHOWCASE/2021/02/21/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-29/NSBAS_INT-PKG_S1_OZARK-A034SUD-VV-2014-2021_IW123_2021-02-21_2021-03-29_LGD_ALL.png']"
properties.snowCover,9,[None]
properties.resolution,9,[320]
properties.keywords.href,9,"['https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=%22North%20America%22', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=%22SENTINEL-1%20C-SAR%22', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=%22United%20States%20of%20America%22', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=09', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=2.1.15', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=2021', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=21', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=320', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=ASCENDING', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=CNES', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=CONSOLIDATED', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=February', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=INT-PKG', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=INTERFEROGRAM', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=IW', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=IW1_IW2_IW3', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=Kansas', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=Midwest', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=Northern', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=OZARK-A034SUD-VV', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=OZARK-A034SUD-VV-2014-2021', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=Oklahoma', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=SD-ERA', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=SENTINEL1', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=SHOWCASE', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=South', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=VALID', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=VV', 'https://flatsim.cnes.fr/atdistrib/resto2/api/collections/SHOWCASE/search.json?&lang=en&q=Winter']"
properties.processingMode,9,['CONSOLIDATED']
properties.waterCover,9,['0']
properties.services.browse.layers.type,9,['WMS']
properties.keywords.name,9,"['09', '2.1.15', '2021', '21', '320', 'ASCENDING', 'CNES', 'CONSOLIDATED', 'February', 'INT-PKG', 'INTERFEROGRAM', 'IW', 'IW1_IW2_IW3', 'Kansas', 'Midwest', 'North America', 'Northern', 'OZARK-A034SUD-VV', 'OZARK-A034SUD-VV-2014-2021', 'Oklahoma', 'SD-ERA', 'SENTINEL-1 C-SAR', 'SENTINEL1', 'SHOWCASE', 'South', 'United States of America', 'VALID', 'VV', 'Winter']"
