concept,count,values
datasetVersion.metadataBlocks.citation.fields.value.producerName.value,3,['International Food Policy Research Institute (IFPRI)']
datasetVersion.metadataBlocks.citation.fields.value.datasetContactName.value,21,"['Bagheri Nezhad, Sina', 'Briggs, Hannah E.', 'IFPRI-Data', 'Lachman, Henry', 'Marion, Summer', 'Memmott, Trevor']"
datasetVersion.license.name,18,['CC0 1.0']
datasetVersion.files.version,21,"[1, 2, 3, 4]"
publisher,21,['Harvard Dataverse']
datasetVersion.metadataBlocks.geospatial.displayName,3,['Geospatial Metadata']
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabularyURI.multiple,3,[False]
datasetVersion.metadataBlocks.citation.fields.value.authorAffiliation.multiple,15,[False]
datasetVersion.metadataBlocks.citation.displayName,21,['Citation Metadata']
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifierScheme.value,9,['ORCID']
datasetVersion.metadataBlocks.citation.fields.value.keywordValue.multiple,15,[False]
datasetVersion.metadataBlocks.citation.fields.value.publicationIDNumber.value,3,['10.2499/p15738coll2.134446']
datasetVersion.files.dataFile.description,3,"['This survey, addressing relationships between social ties and COVID-19 infection and mortality rates, is being fielded in six neighborhoods in New York City and Boston between April and June 2020.']"
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredStart.typeName,3,['timePeriodCoveredStart']
datasetVersion.metadataBlocks.citation.fields.value.topicClassValue.typeName,6,['topicClassValue']
datasetVersion.metadataBlocks.citation.fields.value.publicationIDType.typeClass,3,['controlledVocabulary']
datasetVersion.metadataBlocks.citation.fields.value.seriesName.multiple,3,[False]
datasetVersion.metadataBlocks.citation.fields.value.publicationURL.typeClass,3,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.topicClassValue.value,6,"['COVID-19', 'Community assessment survey', 'Gender', 'Health']"
datasetVersion.metadataBlocks.citation.fields.value.topicClassVocabURI.value,3,"['http://aims.fao.org/aos/agrovoc/c_34835', 'http://aims.fao.org/aos/agrovoc/c_3511', 'http://aims.fao.org/aos/agrovoc/c_4ad07701']"
datasetVersion.datasetId,21,"[3821563, 3861798, 4186209, 4862481, 6165490, 6356914, 6360577]"
datasetVersion.metadataBlocks.geospatial.fields.value.country.typeName,3,['country']
datasetVersion.license.uri,18,['http://creativecommons.org/publicdomain/zero/1.0']
datasetVersion.metadataBlocks.geospatial.fields.typeClass,3,"['compound', 'primitive']"
datasetVersion.metadataBlocks.citation.fields.value.dsDescriptionDate.multiple,3,[False]
datasetVersion.metadataBlocks.citation.fields.value.publicationIDType.typeName,3,['publicationIDType']
datasetVersion.metadataBlocks.citation.fields.value.dsDescriptionValue.typeClass,21,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.topicClassVocabURI.typeClass,3,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.seriesName.typeName,3,['seriesName']
datasetVersion.releaseTime,21,"['2020-04-30T12:30:21Z', '2020-06-05T21:27:33Z', '2020-11-22T16:59:39Z', '2022-02-14T22:37:20Z', '2022-05-19T17:16:30Z', '2022-06-27T23:18:08Z', '2022-07-01T14:36:33Z']"
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredStart.multiple,3,[False]
datasetVersion.metadataBlocks.citation.fields.typeClass,21,"['compound', 'controlledVocabulary', 'primitive']"
datasetVersion.metadataBlocks.citation.fields.value.authorAffiliation.typeClass,15,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.producerLogoURL.multiple,3,[False]
datasetVersion.metadataBlocks.citation.fields.value.keywordValue.typeClass,15,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.distributorName.value,3,['International Food Policy Research Institute (IFPRI)']
datasetVersion.metadataBlocks.citation.fields.value.distributorURL.typeClass,3,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifier.value,6,"['0000-0001-7043-9439', '0000-0002-3584-3484', '0000-0002-4150-995X', '0000-0002-4509-0244', '0000-0002-5407-6823', '0000-0002-7863-8739', '0000-0003-4516-8766']"
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabulary.typeClass,3,['primitive']
datasetVersion.versionNumber,21,[1]
datasetVersion.files.dataFile.originalFormatLabel,12,"['Comma Separated Values', 'SPSS Binary', 'Stata 14 Binary']"
datasetVersion.metadataBlocks.geospatial.fields.typeName,3,"['geographicCoverage', 'geographicUnit']"
datasetVersion.files.dataFile.originalFileName,12,"['COMBINED_waves_1234.dta', 'Ghana_COVID19_R6.dta', 'Ghana_COVID19_R6_codebook.csv', 'Ghana_COVID19_R6_codebook_choices.csv', 'INDU0005_OUTPUT_national.sav', 'RAW_wave1_Indiana.sav', 'RAW_wave1_National.sav', 'RAW_wave2.sav', 'RAW_wave3.sav', 'RAW_wave4.sav', 'Replication_Survey.dta', 'Smoking Covid-19 Patients.csv', 'waves_energy_insecurity.dta', 'weights_national_extra_cmd-2.csv', 'zcta_urban.dta', 'zcta_urban_v2.dta']"
datasetVersion.metadataBlocks.geospatial.fields.value.country.multiple,3,[False]
datasetVersion.metadataBlocks.citation.fields.value.publicationIDNumber.typeClass,3,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.distributorLogoURL.value,3,['https://www.ifpri.org/sites/all/themes/custom/serenity/logo.png']
datasetVersion.metadataBlocks.citation.fields.value.publicationURL.multiple,3,[False]
datasetVersion.metadataBlocks.citation.fields.value.datasetContactEmail.multiple,21,[False]
datasetVersion.metadataBlocks.citation.fields.value.grantNumberAgency.value,3,['United States Agency for International Development (USAID)']
datasetVersion.metadataBlocks.citation.fields.value.producerURL.typeName,3,['producerURL']
datasetVersion.metadataBlocks.citation.fields.value.datasetContactEmail.typeClass,21,['primitive']
datasetVersion.metadataBlocks.citation.fields.value.softwareVersion.multiple,3,[False]
datasetVersion.metadataBlocks.geospatial.fields.value.country.typeClass,3,['controlledVocabulary']
datasetVersion.metadataBlocks.citation.fields.value.distributorName.typeName,3,['distributorName']
datasetVersion.files.datasetVersionId,21,"[194012, 196903, 217098, 251284, 324317, 329163, 329333]"
identifier,21,"['DVN/3D5LIQ', 'DVN/BOI0MD', 'DVN/GDUOVS', 'DVN/JLXBEA', 'DVN/OMJWNB', 'DVN/XPT7L0', 'DVN/ZKGPQO']"
datasetVersion.metadataBlocks.socialscience.displayName,3,['Social Science and Humanities Metadata']
datasetVersion.metadataBlocks.citation.fields.value.distributorURL.value,3,['http://www.ifpri.org']
authority,21,['10.7910']
datasetVersion.metadataBlocks.citation.fields.value.softwareVersion.value,3,['17']
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabularyURI.typeName,3,['keywordVocabularyURI']
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifier.multiple,6,[False]
datasetVersion.metadataBlocks.citation.fields.value.publicationCitation.multiple,3,[False]
datasetVersion.metadataBlocks.citation.fields.value.contributorType.multiple,3,[False]
datasetVersion.metadataBlocks.citation.name,21,['citation']
