concept,count,values
EXPERIMENT_PACKAGE.RUN_SET.RUN.Databases.Database.Table.Statistics.Elements.count,6,"['18036856', '24074033']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.Pool.Member.organism,6,['oral metagenome']
EXPERIMENT_PACKAGE.Organization.Contact.Address.Institution.@value,6,['Shahjalal University of Science and Technology']
EXPERIMENT_PACKAGE.RUN_SET.spots,6,"['32444', '42366']"
EXPERIMENT_PACKAGE.Pool.Member.IDENTIFIERS.PRIMARY_ID.@value,6,"['SRS11177707', 'SRS11177708']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.Statistics.Read.stdev,6,"['50.30', '51.09', '57.42', '58.40']"
BioSampleSet.BioSample.Attributes.Attribute.display_name,6,"['cell type', 'disease', 'source name']"
EXPERIMENT_PACKAGE.EXPERIMENT.STUDY_REF.IDENTIFIERS.PRIMARY_ID.@value,6,['SRP348427']
EXPERIMENT_PACKAGE.Organization.type,6,['institute']
EXPERIMENT_PACKAGE.RUN_SET.RUN.Statistics.Read.index,6,"['0', '1']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.SRAFiles.SRAFile.Alternatives.access_type,6,"['Use Cloud Data Delivery', 'anonymous', 'aws identity', 'gcp identity']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.Pool.Member.member_name,6,['']
EXPERIMENT_PACKAGE.EXPERIMENT.DESIGN.SAMPLE_DESCRIPTOR.IDENTIFIERS.EXTERNAL_ID.@value,6,"['SAMN21987334', 'SAMN21987335']"
EXPERIMENT_PACKAGE.Organization.Contact.Address.Department.@value,6,['Genetic Engineering and Biotechnology']
EXPERIMENT_PACKAGE.Organization.Address.Institution.@value,6,['Shahjalal University of Science and Technology']
EXPERIMENT_PACKAGE.RUN_SET.RUN.SRAFiles.SRAFile.md5,6,"['195d6d65ad6c598b7bdc46d2c3c8026f', '26c6c27bedc00dc295b036f078522188', '435ae12315e201fab8aa56c09be18f94', 'c6ad93249f2ef0807768b239fd77a0a6', 'c71ac11c118c24215a3b16953d70da94', 'dd9c844cf65de6d204ee4af54f74c0da', 'f0fb700997b9d27e17f0bf0b9aac5b5d', 'f79205f53577b503cefac7dc210782ff']"
EXPERIMENT_PACKAGE.SAMPLE.alias,6,"['COVO142', 'COVO143']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.size,6,"['10178453', '13654857']"
BioSampleSet.BioSample.access,6,['public']
EXPERIMENT_PACKAGE.RUN_SET.RUN.SRAFiles.SRAFile.cluster,6,['public']
EXPERIMENT_PACKAGE.Organization.Address.City.@value,6,['Sylhet']
EXPERIMENT_PACKAGE.RUN_SET.bases,6,"['18036856', '24074033']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.SRAFiles.SRAFile.url,6,"['https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17066/SRR17066270/SRR17066270.lite.1', 'https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17066/SRR17066271/SRR17066271.lite.1', 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17066270/SRR17066270', 'https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17066271/SRR17066271']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.CloudFiles.CloudFile.location,6,"['gs.US', 's3.us-east-1']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.SRAFiles.SRAFile.semantic_name,6,"['SRA Lite', 'SRA Normalized', 'fastq']"
EXPERIMENT_PACKAGE.Organization.Address.Department.@value,6,['Genetic Engineering and Biotechnology']
BioSampleSet.BioSample.Owner.Contacts.Contact.Name.Last.@value,6,['Blüthgen']
EXPERIMENT_PACKAGE.Organization.Address.Country.@value,6,['Bangladesh']
EXPERIMENT_PACKAGE.RUN_SET.RUN.Statistics.nspots,6,"['32444', '42366']"
EXPERIMENT_PACKAGE.STUDY.IDENTIFIERS.PRIMARY_ID.@value,6,['SRP348427']
EXPERIMENT_PACKAGE.RUN_SET.RUN.Statistics.Read.average,6,"['277.64', '278.30', '283.96', '284.28']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.EXPERIMENT_REF.IDENTIFIERS.SUBMITTER_ID.@value,6,"['COVID oral_21', 'COVID oral_22']"
BioSampleSet.BioSample.Ids.Id.is_primary,6,['1']
EXPERIMENT_PACKAGE.EXPERIMENT.STUDY_REF.IDENTIFIERS.EXTERNAL_ID.namespace,6,['BioProject']
EXPERIMENT_PACKAGE.EXPERIMENT.DESIGN.LIBRARY_DESCRIPTOR.LIBRARY_NAME.@value,6,"['COVID oral_21', 'COVID oral_22']"
EXPERIMENT_PACKAGE.SUBMISSION.IDENTIFIERS.SUBMITTER_ID.namespace,6,['Shahjalal University of Science and Technology']
EXPERIMENT_PACKAGE.RUN_SET.RUN.Pool.Member.accession,6,"['SRS11177707', 'SRS11177708']"
EXPERIMENT_PACKAGE.Pool.Member.tax_id,6,['1227552']
EXPERIMENT_PACKAGE.Organization.Address.Street.@value,6,['Kumargaon road']
BioSampleSet.BioSample.publication_date,6,['2021-10-09T00:00:00.000']
EXPERIMENT_PACKAGE.SAMPLE.IDENTIFIERS.EXTERNAL_ID.@value,6,"['SAMN21987334', 'SAMN21987335']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.Bases.cs_native,6,['false']
EXPERIMENT_PACKAGE.EXPERIMENT.DESIGN.LIBRARY_DESCRIPTOR.LIBRARY_STRATEGY.@value,6,['AMPLICON']
EXPERIMENT_PACKAGE.RUN_SET.RUN.SRAFiles.SRAFile.supertype,6,"['Original', 'Primary ETL']"
BioSampleSet.BioSample.Ids.Id.db,6,"['BioSample', 'GEO']"
EXPERIMENT_PACKAGE.STUDY.IDENTIFIERS.EXTERNAL_ID.namespace,6,['BioProject']
EXPERIMENT_PACKAGE.Organization.Contact.Address.City.@value,6,['Sylhet']
EXPERIMENT_PACKAGE.RUN_SET.RUN.Statistics.nreads,6,['2']
EXPERIMENT_PACKAGE.SUBMISSION.IDENTIFIERS.SUBMITTER_ID.@value,6,['SUB10731583']
EXPERIMENT_PACKAGE.SUBMISSION.alias,6,['SUB10731583']
EXPERIMENT_PACKAGE.Organization.Contact.sec_email,6,['faisalron04@gmail.com']
BioSampleSet.BioSample.accession,6,"['SAMN22161963', 'SAMN22161964']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.Databases.Database.Table.Statistics.source,6,['meta']
EXPERIMENT_PACKAGE.RUN_SET.RUN.SRAFiles.SRAFile.size,6,"['10180281', '13656684', '20429324', '20472000', '27213016', '27239378', '4712512', '6250443']"
BioSampleSet.BioSample.Links.Link.target,6,['bioproject']
EXPERIMENT_PACKAGE.RUN_SET.RUN.Bases.Base.value,6,"['A', 'C', 'G', 'N', 'T']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.Pool.Member.IDENTIFIERS.EXTERNAL_ID.namespace,6,['BioSample']
EXPERIMENT_PACKAGE.RUN_SET.RUN.SRAFiles.SRAFile.Alternatives.org,6,"['AWS', 'GCP', 'NCBI']"
EXPERIMENT_PACKAGE.SAMPLE.SAMPLE_ATTRIBUTES.SAMPLE_ATTRIBUTE.TAG.@value,6,"['BioSampleModel', 'collection_date', 'geo_loc_name', 'host', 'isolation_source', 'lat_lon']"
EXPERIMENT_PACKAGE.EXPERIMENT.alias,6,"['COVID oral_21', 'COVID oral_22']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.Bases.count,6,"['18036856', '24074033']"
BioSampleSet.BioSample.Owner.Contacts.Contact.Name.First.@value,6,['Nils']
EXPERIMENT_PACKAGE.RUN_SET.RUN.alias,6,"['COVO142_R1.fastq', 'COVO143_R1.fastq']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.Pool.Member.spots,6,"['32444', '42366']"
EXPERIMENT_PACKAGE.Pool.Member.spots,6,"['32444', '42366']"
EXPERIMENT_PACKAGE.RUN_SET.RUN.published,6,"['2021-11-29 13:53:03', '2021-11-29 13:54:47']"
EXPERIMENT_PACKAGE.Organization.Contact.Name.Last.@value,6,['FOYSAL']
EXPERIMENT_PACKAGE.RUN_SET.RUN.Statistics.Read.count,6,"['32444', '42366']"
EXPERIMENT_PACKAGE.STUDY.DESCRIPTOR.CENTER_PROJECT_NAME.@value,6,['Gut and oral microbiome of healthy control and COVID cases in Bangladesh']
