concept,count,values
default_federated,100,"[False, True]"
custom_referential,100,[None]
inspire_topologic_consistency,100,[None]
default_source_domain_address,100,"['aix-en-provence.opendatasoft.com', 'bleublancrousse.opendatasoft.com', 'bpce.opendatasoft.com', 'carene-sfrgeostatistics.opendatasoft.com', 'catastro-bogota-laburbano.opendatasoft.com', 'cofelyservices.opendatasoft.com', 'credivalores-bogota-laburbano.opendatasoft.com', 'data.blois.agglopolys.fr', 'data.peclet.com.au', 'data.regionreunion.com', 'datafondationsanofi.opendatasoft.com', 'e-lab.opendatasoft.com', 'iqvia.opendatasoft.com', 'latangente.opendatasoft.com', 'opendata.hauts-de-seine.fr', 'opendata.vallourec.com', 'opendataregaz-test-agenceore.opendatasoft.com', 'prim-stif.opendatasoft.com', 'rkouye.opendatasoft.com', 'tournai.opendatasoft.com', 'www.geelongdataexchange.com.au']"
default_territory,100,"[None, 'Aix-en-Provence', 'CA de Blois Agglopolys', ""CA de la Région Nazairienne et de l'Estuaire (CARENE)"", 'Colombia', 'France', 'France,Belgium', 'Greater Geelong (C)', 'Hauts-de-Seine', 'La Réunion', 'Luxembourg', 'Nord', 'Tournai', 'World', 'Île-de-France']"
default_publisher,100,"[None, 'ARCEP', 'Administration Communale de Tournai', 'Agence ORE & Gestionnaires de réseaux électricité et gaz', 'BPVF SIRH', 'Blablacar', 'CAF Online', 'CDT Nord', 'City of Greater Geelong', ""Cité des sciences et de l'industrie"", 'Colpensiones', 'DGE', 'Delphine BARRAU', 'EDF-SEI', 'Etalab', 'Fédération Nationale des Banques Populaires', 'Gares & Connexions', 'INSEE', 'IQVIA France', 'Ile-de-France Mobilités', 'La Tangente', 'MercadoDatos', 'Meteo France', ""Ministère de l'Economie, de l'Industrie et du Numérique"", ""Ministère de l'économie et des finances"", 'Ministère de la Culture', 'OpenAgenda', 'Opendatasoft', 'SFR', 'Tesla', 'Université Paris Nanterre', 'Vallourec Tubes SAS']"
default_source_domain_title,100,"['Aix-en-provence', 'Bleu Blanc Rousse', 'Blois-Agglopolys', 'CARENE', 'Cofelyservices', 'Credivalores', 'E-lab', 'Foundation S', 'Geelong Data Exchange', 'Groupe BPCE OpenData', 'IQVIA Opendata', 'Open Data Hauts-de-Seine', 'Portail Open Data de La Réunion', 'Rkouye', 'Tournai', 'Vallourec Public Data', 'catastro', 'data.peclet', 'latangente', 'open data Regaz', 'prim.data.iledefrance-mobilites.fr']"
dcat_created,100,"[None, '2014-05-12']"
inspire_spatial_resolution,100,[None]
dcat_contributor,100,[None]
inspire_identification_purpose,100,[None]
inspire_contact_position,100,[None]
dcat_accessRights,100,[None]
default_geographic_reference,100,"[None, 'au_60_22750', 'be_80_57081', 'fr_40_04', 'fr_40_11', 'fr_60_59', 'fr_60_92', 'fr_70_200030385', 'fr_70_244400644', 'fr_80_13001', 'world', 'world_co', 'world_fr', 'world_fr,world_be', 'world_lu']"
default_attributions,100,"[None, 'Etalab,INSEE IGN NaturalEarth DGCL - BANATIC MEFR MAA', 'Etalab,Tesla,INSEE IGN OFGL', 'INSEE', 'INSEE IGN NaturalEarth DGCL - BANATIC MEFR MAA', 'INSEE IGN NaturalEarth DGCL - BANATIC MEFR MAA,INSEE IGN NaturalEarth DGGL', 'INSEE IGN NaturalEarth DGCL - BANATIC MEFR MAA,INSEE IGN NaturalEarth,INSEE IGN NaturalEarth DGGL,INSEE IGN OFGL', 'INSEE IGN NaturalEarth DGCL - BANATIC MEFR MAA,INSEE IGN OFGL,INSEE IGN NaturalEarth DGGL,INSEE IGN NaturalEarth', 'INSEE IGN NaturalEarth DGGL,INSEE IGN OFGL,INSEE IGN NaturalEarth DGCL - BANATIC MEFR MAA', 'INSEE IGN OFGL', 'INSEE,IGN,OFGL', 'INSEE,IGN,OFGL,OpenDataSoft,La Tangente', 'INSEE,La Tangente', 'recherche web']"
default_shared_catalog,100,[None]
default_license,100,"[None, 'CC BY 3', 'CC BY-NC-ND', 'CC-BY-NC-SA', 'Creative Commons Attribution', 'DVF - Terms of Use', 'Domaine public', 'Licence Données Territoire (FNBP)', 'Licence ODbL Version Française', 'Licence Ouverte (Etalab)', 'Licence Ouverte v2.0', 'Licence Ouverte v2.0 (Etalab)', 'Licence Ouverte/Open License Version 2.0', 'Open Data Commons Open Database License (ODbL)', 'Open Database License', 'Open Database License (ODbL)', 'Open License v1.0', 'Open License v2.0']"
inspire_contact_address,100,[None]
inspire_extend_bounding_box_southbound_latitude,100,"[None, '48,72976409']"
default_modified_updates_on_metadata_change,100,"[None, False, True]"
dcat_temporal,100,[None]
semantic_properties,100,[None]
default_modified_updates_on_data_change,100,"[None, False, True]"
inspire_file_identifier,100,[None]
