concept,count,values
hits.data._keywords.collection,15,"['SENTINEL2', 'Snow']"
hits.data.metadata.core.graphics.thumbnail,18,"['https://products.thisme.cines.teledetection.fr/Maine-Et-Loire/S1A/2021-2022/MV_S1A_MAINE-ET-LOIRE_20210907T174847.PNG', 'https://theia.cnes.fr/data//SENTINEL2/2021/09/08/SENTINEL2B_20210908-102806-442_L2A_T32TPR_D_V3-0/SENTINEL2B_20210908-102806-442_L2A_T32TPR_D_V3-0_THB_ALL.png', 'https://theia.cnes.fr/data//SENTINEL2/2021/09/08/SENTINEL2B_20210908-102828-850_L2A_T32TMQ_D_V3-0/SENTINEL2B_20210908-102828-850_L2A_T32TMQ_D_V3-0_THB_ALL.png', 'https://theia.cnes.fr/data//SENTINEL2/2021/09/08/SENTINEL2B_20210908-102843-191_L2A_T32TMP_D_V3-0/SENTINEL2B_20210908-102843-191_L2A_T32TMP_D_V3-0_THB_ALL.png', 'https://theia.cnes.fr/data//Snow/2021/09/08/SENTINEL2B_20210908-102745-451_L2B-SNOW_T32TMT_D_V1-9/SENTINEL2B_20210908-102745-451_L2B-SNOW_T32TMT_D_V1-9_THB_ALL.png', 'https://theia.cnes.fr/data//Snow/2021/09/08/SENTINEL2B_20210908-102851-764_L2B-SNOW_T31TGJ_D_V1-9/SENTINEL2B_20210908-102851-764_L2B-SNOW_T31TGJ_D_V1-9_THB_ALL.png']"
hits.data._services.download.protocol,18,['download']
hits.data.metadata.core.description.processingLevel_en,15,"['LEVEL 2A', 'LEVEL 2B']"
hits.data._services.WMS.url,18,"['https://theia.cnes.fr/atdistrib/resto2/collections/SENTINEL2/4bf89147-f445-5983-8a53-f27d3aa9f44b/wms?map=/nfs/muscate_data//muscate.map&idProduit=SENTINEL2B_20210908-102843-191_L2A_T32TMP_D&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&versionProduit=3-0&idProjet=SENTINEL2&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&bbox={bbox-epsg-3857}{:bbox3857:}&WIDTH=256&HEIGHT=256', 'https://theia.cnes.fr/atdistrib/resto2/collections/SENTINEL2/65832149-b7d8-5971-a0be-5b2400428410/wms?map=/nfs/muscate_data//muscate.map&idProduit=SENTINEL2B_20210908-102828-850_L2A_T32TMQ_D&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&versionProduit=3-0&idProjet=SENTINEL2&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&bbox={bbox-epsg-3857}{:bbox3857:}&WIDTH=256&HEIGHT=256', 'https://theia.cnes.fr/atdistrib/resto2/collections/SENTINEL2/eb81e99b-b9d6-5b36-8cdf-8660edfac0b7/wms?map=/nfs/muscate_data//muscate.map&idProduit=SENTINEL2B_20210908-102806-442_L2A_T32TPR_D&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&versionProduit=3-0&idProjet=SENTINEL2&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&bbox={bbox-epsg-3857}{:bbox3857:}&WIDTH=256&HEIGHT=256', 'https://theia.cnes.fr/atdistrib/resto2/collections/Snow/38303d54-9612-52dc-bdd8-cf00e3c018b5/wms?map=/nfs/muscate_data//muscate.map&idProduit=SENTINEL2B_20210908-102745-451_L2B-SNOW_T32TMT_D&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&versionProduit=1-9&idProjet=Snow&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&bbox={bbox-epsg-3857}{:bbox3857:}&WIDTH=256&HEIGHT=256', 'https://theia.cnes.fr/atdistrib/resto2/collections/Snow/499568a9-1ab1-50be-94a1-4c5efe6407f2/wms?map=/nfs/muscate_data//muscate.map&idProduit=SENTINEL2B_20210908-102851-764_L2B-SNOW_T31TGJ_D&anneeProduit=ANNEEPRODUIT&moisProduit=MOISPRODUIT&jourProduit=JOURPRODUIT&versionProduit=1-9&idProjet=Snow&LAYERS=muscate&FORMAT=image%2Fpng&TRANSITIONEFFECT=resize&TRANSPARENT=true&VERSION=1.1.1&SERVICE=WMS&REQUEST=GetMap&STYLES=&SRS=EPSG%3A3857&bbox={bbox-epsg-3857}{:bbox3857:}&WIDTH=256&HEIGHT=256', 'https://tiles.thisme.cines.teledetection.fr/?map=/map/soilmoisture.map&productid=/Maine-Et-Loire/S1A/2021-2022/MV_S1A_MAINE-ET-LOIRE_20210907T174847.TIF&service=WMS&request=GetMap&layers=tif&format=image/png&transparent=true&version=1.1.1&srs=EPSG:3857&bbox={bbox-epsg-3857}&width=256&height=256']"
hits.data._attachments.description_fr,18,['En savoir plus']
nbhits,18,[1]
hits.data._isDownloadEnabled,18,[True]
hits.data._centroid_wkt,18,"['POINT(0.0308785 47.369904)', 'POINT(10.9841665114325 45.5414600854159)', 'POINT(6.16366319286477 43.7146204881868)', 'POINT(8.40224298117084 47.3573724302641)', 'POINT(8.43064367292867 44.6574832050061)', 'POINT(8.439253361335 43.7570495194982)']"
hits.data.metadata.services.name,18,"['TIF', 'download', 'no_name']"
