concept,type
contacts.organisations,string
spatialExtents.area.westLongitude,integer
contacts.organisation,string
parameterSet.comment.en,string
platformSet.name,string
instrumentSet.name,string
formats.readingInformation,string
identifiers.code,string
platforms,string
modifications,"string"
sites,"string"
aerisDataCenter,string
platformSet.description.en,string
distributionInformation.dataPolicyUrl,URL
publications,string
spatialExtents.spatialRepresentation,string
keywords,string
technicalInformation.catalogueName,string
contacts.orcId,ID
temporalExtents.comment,string
acknowledgement,string
distributionInformation.dataPolicyDescription.DEFAULT_VALUE_KEY,string
editInformations.histories,list[date]
parameterSet.comment.fr,string
links.type,string
contacts.email,mail
dataCenter,string
distributionInformation.embargoDuration,integer
distributionInformation.description.DEFAULT_VALUE_KEY,string
parameterSet.cfStandardName,string
temporalExtents.beginDate,date
documentRating,integer
parameterSet.label,string
parameterSet.longName,string
datasetSpecification,string
parameterSet.thesaurusCode,URL
dataLevel,string
contacts.name,string
instrumentSet.manufacturer,string
metadataLevel,string
contacts.roles,string
spatialExtents.projection,string
contacts.lastName,string
site,string
instrumentSet.serialNumber,string
identifiers.codeSpace,URL
spatialExtents.comment,string
parameters,string
instrumentSet.model,string
projectSet.label,string
distributionInformation.licenceName,string
spatialExtents.area.northLatitude,integer
alternateResourceTitle,string
distributionInformation.registrationNeeded,string
contacts.comment.DEFAULT_VALUE_KEY,string
instrumentSet.thesaurusCode,string
contacts.firstName,string
platformSet.label,string
clientTemplateName,string
note,float
collectionName,string
projects,string
processLevel,string
formats.temporalInterval,date
datasetChangelogs,string
formats.name,string
spatialExtents.name,string
spatialExtents.area.type,string
instrumentSet.resolution,string
instruments,string
temporalExtents.endDate,date
harvestingInfo,string
distributionInformation.licenceVersion,string
platformSet.thesaurusCode,URL
relationships,string
visibility,string
language,string
spatialExtents.area.altitude,integer
identifier,id
spatialExtents.area.longitude,integer
instrumentSet.calibration,string
plateforms,string
resourceAbstract.en,string
spatialExtents.area.southLatitude,integer
contacts.nameType,string
instrumentSet.label,string
instrumentSet.description.DEFAULT_VALUE_KEY,string
spatialExtents.description,string
contacts.ror,string
lastModification.value,date
links.name,string
resourceType,string
spatialExtents.area.latitude,integer
contacts.webSiteUrl,URL
distributionInformation.embargoStartDate,date
doc_id,id
spatialExtents.area.eastLongitude,integer
quicklooks,string
resourceTitle.en,string
parameterSet.uom,string
spatialExtents.additionalData,string
platformSet.description.fr,string
links.description.en,string
formats.description.DEFAULT_VALUE_KEY,string
categories,string
contacts.address,string
contacts.temporalExtents,date
formats.version,string
projectSet.thesaurusCode,string
programName,string
status,string
resourceAbstract.fr,string
spatialExtents.orbit,string
technicalInformation.catalogueMode,string
instrumentSet.temporalExtents,date
projectSet.shortName,string
distributionInformation.authenticationNeeded,string
interoperabilityInformation.filterDescription,string
parameterSet.shortName,string
distributionInformation.licenceUrl,string
type,string
links.url,URL
parameterSet.type,string
resourceTitle.fr,string
