concept,type
dataset.system.parameter.name.@value,string
dataset.system.boundaryCondition.parameter.name.@value,string
dataset.system.phase.component.forcefield.name.@value,string
dataset.system.phase.component.quantity.@value,integer
dataset.description.descriptionType,string
dataset.keywords.keyword.@value,string
dataset.system.grid.point.positionY.@value,integer
dataset.system.boundaryCondition.parameter.unit.@value,string
dataset.provenance.step.tool.citation.@value,string
dataset.creator.role.@value,string
dataset.system.parameter.unit.@value,string
dataset.system.phase.component.forcefield.parameter.unit.@value,string
dataset.provenance.step.actor.familyName.@value,string
dataset.provenance.step.instrument.serialnum.@value,string
dataset.checksum.algorithm,string
dataset.rightsStatement.statuteInformation.statuteCitation.authorityURI,string
dataset.context.referencePublication.url.@value,URL
dataset.context.relatedIdentifier.relationType,string
dataset.system.boundaryCondition.flow.position.@value,string
dataset.context.relatedResource.checksum.@value,string
dataset.size.@value,integer
dataset.system.boundaryCondition.flow.shape.@value,string
dataset.provenance.step.instrument.history.event.notes.@value,string
dataset.provenance.step.instrument.partnum.@value,integer
dataset.resourceType.resourceTypeGeneral,string
dataset.measuredVariable.unit.@value,string
dataset.creator.givenName.@value,string
dataset.creator.name.@value,string
dataset.provenance.step.executionCommand.@value,string
dataset.provenance.step.environment.cpu.@value,string
dataset.provenance.step.tool.SoftwareSourceCode.link.@value,URL
dataset.description.lang,string
dataset.format.formatDesignation.formatName.@value,string
dataset.system.boundaryCondition.flow.component.@value,string
dataset.provenance.step.tool.SoftwareApplication.checksum.@value,string
dataset.provenance.step.actor.affiliation.name.@value,string
dataset.system.phase.component.name.@value,string
dataset.contributor.role.@value,string
dataset.creator.email.@value,mail
dataset.creator.id.scheme,URL
dataset.system.grid.file.link.@value,string
dataset.context.relatedResource.id.scheme,string
dataset.system.phase.component.forcefield.parameter.value.@value,string
dataset.provenance.step.tool.softwareVersion.@value,string
dataset.rightsStatement.rightsBasis.valueURI,string
dataset.rightsStatement.rightsGranted.act.authorityURI,string
dataset.context.referencePublication.citation.@value,string
dataset.keywords.keyword.vocabulary,string
dataset.provenance.step.tool.SoftwareApplication.id.type,string
dataset.context.referencePublication.id.type,string
dataset.mode.@value,string
dataset.workedNote.@value,string
dataset.contact.id.@value,id
dataset.provenance.step.instrument.date.@value,date
dataset.provenance.step.method.parameter.value.@value,id
dataset.contributor.familyName.@value,string
dataset.system.grid.countCells.@value,integer
dataset.contact.familyName.@value,string
dataset.dates.date.dateType,string
dataset.system.id,string
dataset.provenance.step.actor.givenName.@value,string
dataset.system.temporalResolution.interval.@value,integer
dataset.contact.affiliation.address.@value,string
dataset.system.boundaryCondition.parameter.value.@value,integer
dataset.rightsStatement.statuteInformation.statuteJurisdiction.@value,string
dataset.contact.id.type,string
dataset.dates.date.@value,date
dataset.system.grid.scalingFormula.@value,string
dataset.system.grid.file.checksum.algorithm,string
dataset.controlledVariable.unit.@value,string
dataset.identifier.@value,id
dataset.system.temporalResolution.timeStep.@value,integer
dataset.checksum.@value,string
dataset.contact.name.@value,string
dataset.creator.familyName.@value,string
dataset.controlledVariable.name.@value,string
dataset.system.boundaryCondition.flow.size.@value,integer
dataset.provenance.step.actor.role.@value,string
dataset.controlledVariable.symbol.@value,string
dataset.fundingReference.funderName.@value,string
dataset.context.relatedIdentifier.relatedIdentifierType,string
dataset.system.phase.component.id,id
dataset.provenance.step.tool.SoftwareSourceCode.checksum.@value,string
dataset.fundingReference.awardNumber.@value,string
dataset.rightsStatement.rightsGranted.act.authority,string
dataset.rightsStatement.rightsBasis.authority,string
dataset.provenance.step.actor.email.@value,mail
dataset.provenance.step.type.@value,string
dataset.controlledVariable.value.@value,string
dataset.subjects.subject.subjectScheme,string
dataset.provenance.step.instrument.history.event.action.@value,string
dataset.provenance.step.actor.name.@value,string
dataset.measuredVariable.symbol.@value,string
dataset.provenance.step.tool.SoftwareApplication.checksum.algorithm,string
dataset.system.grid.intervalZ.@value,integer
dataset.provenance.step.tool.name.@value,string
dataset.contributor.name.@value,string
dataset.system.grid.countX.@value,integer
dataset.system.grid.intervalY.@value,integer
dataset.system.grid.point.positionX.@value,integer
dataset.provenance.step.instrument.history.event.id,string
dataset.context.relatedResource.checksum.algorithm,string
dataset.worked.@value,integer
dataset.fundingReference.funderIdentifier.@value,URL
dataset.contributor.id.scheme,URL
dataset.contact.affiliation.id.type,string
dataset.provenance.step.actor.affiliation.address.@value,string
dataset.provenance.step.method.description.@value,string
dataset.title.lang,string
dataset.contributor.id.@value,id
dataset.provenance.step.date.@value,date
dataset.project.level,string
dataset.contributor.affiliation.address.@value,string
dataset.context.referencePublication.id.@value,URL
dataset.creator.affiliation.id.@value,id
dataset.subjects.subject.@value,string
dataset.contact.role.@value,string
dataset.system.grid.countZ.@value,integer
dataset.system.grid.point.positionZ.@value,integer
dataset.context.relatedIdentifier.relatedMetadataScheme,string
dataset.identifier.type,string
dataset.measuredVariable.name.@value,string
dataset.contact.id.scheme,
dataset.system.grid.unit.@value,string
dataset.provenance.step.tool.SoftwareApplication.id.scheme,
dataset.provenance.step.order,string
dataset.contributor.email.@value,mail
dataset.provenance.step.input.checksum.@value,string
dataset.rightsStatement.rightsGranted.act.valueURI,URI
dataset.system.phase.component.forcefield.parameter.name.@value,string
dataset.context.relatedResource.id.@value,
dataset.creator.id.type,string
dataset.description.@value,string
dataset.system.grid.file.checksum.@value,string
dataset.format.formatRegistry.simpleLink,URL
dataset.provenance.step.instrument.id,id
dataset.contributor.id.type,string
dataset.provenance.step.instrument.description.@value,string
dataset.provenance.step.system.@value,string
dataset.contact.givenName.@value,string
dataset.creator.affiliation.address.@value,string
dataset.provenance.step.instrument.name.@value,string
dataset.context.relatedResource.link.@value,URL
dataset.contact.address.@value,string
dataset.provenance.step.instrument.software.@value,string
dataset.contributor.givenName.@value,string
dataset.system.phase.name,string
dataset.provenance.step.environment.compiler.name.@value,string
dataset.version.@value,string
dataset.fundingReference.funderIdentifier.funderIdentifierType,string
dataset.provenance.step.method.name.@value,string
dataset.provenance.step.tool.SoftwareSourceCode.checksum.algorithm,string
dataset.storage.contentLocation.simpleLink,URL
dataset.provenance.step.tool.URL.@value,URL
dataset.subjects.subject.schemeURI,URL
dataset.rightsStatement.copyrightInformation.copyrightJurisdiction.@value,string
dataset.system.phase.component.unit.@value,string
dataset.provenance.step.errorMethod.name.@value,string
dataset.identifier.scheme,string
dataset.fundingReference.awardNumber.awardURI,URL
dataset.system.temporalResolution.numberOfTimesteps.@value,integer
dataset.rightsStatement.statuteInformation.statuteCitation.valueURI,string
dataset.provenance.step.method.parameter.name.@value,string
dataset.provenance.step.environment.nodes.@value,integer
dataset.context.relatedResource.id.type,string
dataset.provenance.step.tool.operatingSystem.@value,string
dataset.provenance.step.tool.programmingLanguage.@value,string
dataset.system.grid.intervalX.@value,string
dataset.provenance.step.instrument.location.@value,string
dataset.provenance.step.instrument.type.@value,string
dataset.rightsStatement.statuteInformation.statuteCitation.authority,string
dataset.provenance.step.environment.compiler.flags.@value,string
dataset.system.parameter.value.@value,integer
dataset.creator.affiliation.name.@value,string
dataset.project.@value,string
dataset.resourceType.@value,string
dataset.title.@value,string
dataset.provenance.step.tool.SoftwareApplication.link.@value,URL
dataset.fundingReference.awardTitle.@value,string
dataset.provenance.step.tool.codeRepository.@value,URL
dataset.contact.affiliation.name.@value,string
dataset.provenance.step.instrument.history.event.date.@value,date
dataset.provenance.step.input.link.@value,URL
dataset.provenance.step.input.checksum.algorithm,string
dataset.provenance.step.instrument.version,string
dataset.context.referencePublication.id.scheme,string
dataset.creator.id.@value,id
dataset.contributor.affiliation.name.@value,string
dataset.rightsStatement.rightsBasis.authorityURI,string
dataset.provenance.step.environment.name.@value,string
dataset.system.phase.component.smilesCode.@value,string
dataset.creator.affiliation.id.type,string
dataset.system.grid.countY.@value,integer
dataset.subjects.subject.valueURI,URI
dataset.provenance.step.instrument.software.os,string
dataset.contact.affiliation.id.@value,string
dataset.system.grid.countBlocks.@value,integer
dataset.keywords.keyword.vocabularyURL,URL
dataset.provenance.step.environment.ppn.@value,string
dataset.rightsStatement.rightsStatementIdentifier.simpleLink,string
dataset.provenance.step.tool.SoftwareApplication.id.@value,ir
