concept,type
@graph.dcat:distribution.@id,URL
@graph.locn:geometry.@value,string
@graph.dcat:contactPoint.@id,id
@graph.dct:modified.@value,date
@graph.dct:title.@value,string
@graph.edp:transReceived.@type,URL
@graph.foaf:primaryTopic.@id,URL
@graph.vcard:fn,string
@graph.dct:modified.@type,URL
@graph.owl:versionInfo,string
@graph.dct:rights.@id,id
@graph.dqv:hasQualityMetadata.@id,URL
@graph.dct:conformsTo,string
@graph.dcat:keyword.@value,string
@graph.edp:transIssued.@type,URL
@graph.dct:creator.@id,URL
@context.dct,URL
@context.spdx,URL
@graph.dcat:landingPage.@id,URL
@context.locn,URL
@graph.spdx:algorithm.@id,od
@graph.dct:temporal.@id,od
@graph.dct:spatial.@id,od
@graph.skos:prefLabel,string
@graph.edp:transReceived.@value,date
@graph.dct:description.@value,string
@graph.spdx:checksumValue,string
@graph.dct:format.@id,URL
@graph.dct:issued.@type,URL
@graph.dcat:theme.@id,URL
@graph.dct:title.@language,string
@graph.dct:description.@language,string
@graph.spdx:checksum.@id,id
@graph.dct:provenance,string
@graph.locn:geometry.@type,URL
@graph.@id,id
@graph.@type,string
@graph.schema:startDate.@type,URL
@context.vcard,URL
@context.foaf,URL
@graph.edp:originalLanguage,string
@graph.foaf:name,string
@context.schema,URL
@graph.dct:language.@id,URL
@graph.schema:startDate.@value,date
@context.skos,URL
@graph.dcat:mediaType,string
@graph.dct:publisher.@id,id
@context.owl,URL
@context.dcat,URL
@graph.dct:identifier,id
@graph.dct:accrualPeriodicity,string
@graph.vcard:hasEmail.@id,mail
@graph.schema:endDate.@value,date
@context.dqv,URL
@graph.dct:license.@id,URL
@context.edp,URL
@graph.dcat:keyword.@language,string
@graph.foaf:mbox,mail
@graph.schema:endDate.@type,URL
@graph.dct:type.@id,URL
@graph.dct:issued.@value,date
@graph.edp:transIssued.@value,date
@graph.dcat:accessURL.@id,URL
@graph.edp:transStatus.@id,id
