concept,type
emd.admin.grant_support.grant_reference.funding_body.@value,string
emd.sample.macromolecule_list.ligand.molecular_weight.theoretical.@value,integer
emd.interpretation.additional_map_list.additional_map.dimensions.col.@value,integer
emd.interpretation.additional_map_list.additional_map.spacing.x.@value,integer
emd.interpretation.additional_map_list.additional_map.pixel_spacing.z.units,string
emd.structure_determination_list.structure_determination.singleparticle_processing.particle_selection.number_selected.@value,integer
emd.admin.sites.last_processing.@value,string
emd.sample.macromolecule_list.protein_or_peptide.enantiomer.@value,string
emd.sample.macromolecule_list.protein_or_peptide.natural_source.organism.@value,string
emd.interpretation.additional_map_list.additional_map.axis_order.medium.@value,string
emd.interpretation.additional_map_list.additional_map.statistics.average.@value,integer
emd.interpretation.additional_map_list.additional_map.cell.a.units,string
emd.map.axis_order.slow.@value,string
emd.map.statistics.minimum.@value,integer
emd.sample.macromolecule_list.protein_or_peptide.natural_source.database,string
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.image_recording_list.image_recording.film_or_detector_model.@value,string
emd.sample.macromolecule_list.protein_or_peptide.natural_source.organism.ncbi,integer
emd.structure_determination_list.structure_determination.singleparticle_processing.image_recording_id.@value,integer
emd.map.spacing.y.@value,integer
emd.interpretation.additional_map_list.additional_map.statistics.std.@value,integer
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.acceleration_voltage.units,string
emd.map.cell.gamma.units,string
emd.sample.macromolecule_list.protein_or_peptide.molecular_weight.theoretical.@value,integer
emd.map.dimensions.row.@value,integer
emd.admin.grant_support.grant_reference.country.@value,string
emd.crossreferences.citation_list.primary_citation.journal_citation.year.@value,date
emd.admin.grant_support.grant_reference.code.@value,string
emd.crossreferences.citation_list.primary_citation.journal_citation.external_references.@value,id
emd.crossreferences.citation_list.primary_citation.journal_citation.published,string
emd.map.cell.b.@value,integer
emd.map.spacing.x.@value,integer
emd.sample.macromolecule_list.protein_or_peptide.sequence.external_references.@value,string
emd.sample.supramolecule_list.complex_supramolecule.macromolecule_list.macromolecule.macromolecule_id.@value,integer
emd.sample.supramolecule_list.complex_supramolecule.supramolecule_id,integer
emd.sample.macromolecule_list.protein_or_peptide.number_of_copies.@value,integer
emd.structure_determination_list.structure_determination.specimen_preparation_list.single_particle_preparation.preparation_id,integer
emd.interpretation.additional_map_list.additional_map.contour_list.contour.primary,string
emd.map.cell.gamma.@value,integer
emd.crossreferences.citation_list.primary_citation.journal_citation.last_page.@value,integer
emd.interpretation.additional_map_list.additional_map.size_kbytes,integer
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.image_recording_list.image_recording.average_electron_dose_per_image.units,string
emd.sample.macromolecule_list.ligand.macromolecule_id,id
emd.structure_determination_list.structure_determination.singleparticle_processing.final_reconstruction.resolution_method.@value,string
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.electron_source.@value,string
emd.interpretation.additional_map_list.additional_map.cell.b.units,string
emd.crossreferences.emdb_list.emdb_reference.relationship.other.@value,string
emd.interpretation.additional_map_list.additional_map.cell.b.@value,integer
emd.interpretation.additional_map_list.additional_map.origin.row.@value,integer
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.image_recording_list.image_recording.average_electron_dose_per_image.@value,integer
emd.interpretation.additional_map_list.additional_map.cell.gamma.units,string
emd.map.pixel_spacing.x.units,string
emd.sample.macromolecule_list.protein_or_peptide.sequence.string.@value,string
emd.interpretation.additional_map_list.additional_map.cell.beta.units,string
emd.admin.title.@value,string
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.microscope.@value,string
emd.structure_determination_list.structure_determination.singleparticle_processing.final_reconstruction.number_images_used.@value,integer
emd.map.contour_list.contour.primary,string
emd.crossreferences.emdb_list.emdb_reference.emdb_id.@value,id
emd.interpretation.additional_map_list.additional_map.pixel_spacing.y.@value,integer
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.nominal_defocus_max.@value,integer
emd.interpretation.additional_map_list.additional_map.cell.gamma.@value,integer
emd.interpretation.additional_map_list.additional_map.pixel_spacing.x.@value,integer
emd.interpretation.additional_map_list.additional_map.cell.c.@value,integer
emd.map.file.@value,string
emd.structure_determination_list.structure_determination.microscopy_list.single_particle_microscopy.nominal_defocus_min.units,string
emd.structure_determination_list.structure_determination.singleparticle_processing.final_reconstruction.resolution.res_type,string
emd.structure_determination_list.structure_determination.specimen_preparation_list.single_particle_preparation.vitrification.cryogen_name.@value,string
emd.crossreferences.citation_list.primary_citation.journal_citation.country.@value,string
emd.crossreferences.citation_list.primary_citation.journal_citation.volume.@value,integer
emd.sample.macromolecule_list.protein_or_peptide.macromolecule_id,integer
emd.map.pixel_spacing.x.@value,integer
emd.interpretation.additional_map_list.additional_map.axis_order.slow.@value,string
emd.map.symmetry.space_group.@value,integer
emd.interpretation.additional_map_list.additional_map.contour_list.contour.source.@value,string
emd.map.dimensions.sec.@value,integer
emd.sample.supramolecule_list.complex_supramolecule.natural_source.organism.ncbi,integer
emd.admin.key_dates.update.@value,date
emd.sample.macromolecule_list.protein_or_peptide.recombinant_expression.database,string
emd.crossreferences.citation_list.primary_citation.journal_citation.author.@value,string
emd.structure_determination_list.structure_determination.method.@value,string
emd.map.pixel_spacing.z.units,string
emd.map.cell.a.@value,integer
emd.sample.macromolecule_list.ligand.formula.@value,string
