concept,type
resource.creators.creator.familyName.@value,string
resource.dates.date.dateType,string
resource.descriptions.description.descriptionType,string
resource.creators.creator.creatorName.@value,string
resource.alternateIdentifiers.alternateIdentifier.alternateIdentifierType,string
resource.subjects.subject.@value,string
resource.resourceType.resourceTypeGeneral,string
resource.publicationYear.@value,date
resource.publisher.@value,string
resource.titles.title.@value,string
resource.descriptions.description.@value,string
resource.alternateIdentifiers.alternateIdentifier.@value,URL
resource.resourceType.@value,string
resource.creators.creator.creatorName.nameType,string
resource.identifier.@value,id
resource.identifier.identifierType,string
resource.dates.date.@value,date
resource.creators.creator.givenName.@value,string
