concept,type
properties.services.download.url,URL
properties.sensorMode,string
properties.services.browse.layers.url,URL
properties.title,string
properties.legend,URL
properties.license.signatureQuota,integer
properties.instrument,string
properties.orbitDirection,string
properties.centroid.coordinates,integer
properties.license.hasToBeSigned,string
properties.organisationName,string
properties.processingSite,string
properties.license.grantedCountries,string
properties.thumbnail,URL
properties.keywords.href,URL
properties.keywords.normalized,string
properties.polarisation,string
properties.links.title,string
properties.license.grantedOrganizationCountries,string
properties.productIdentifier,string
properties.relativeOrbitNumber,integer
properties.updated,date
properties.keywords.type,string
properties.keywords.name,string
properties.version,string
properties.links.href,URL
properties.services.browse.title,string
properties.keywords.value,integer
properties.processingContext,string
properties.startDate,date
properties.productType,string
properties.resolution,integer
properties.processingLevel,string
properties.services.download.mimeType,string
properties.oragnisationName,string
properties.orbitNumber,string
properties.license.grantedFlags,string
properties.cloudCover,string
geometry.type,string
properties.links.rel,string
properties.productValidity,string
properties.license.description.shortName,string
properties.description,string
properties.platform,string
properties.snowCover,string
properties.completionDate,date
properties.subswath,string
geometry.coordinates,list[integer]
doc_id,id
properties.correction,string
properties.license.licenseId,string
properties.processingMode,string
properties.services.download.checksum,string
properties.published,date
properties.nbCols,integer
properties.keywords.gcover,integer
properties.services.browse.layers.type,string
properties.quicklook,URL
properties.keywords.parentHash,string
properties.waterCover,integer
properties.license.viewService,string
properties.links.type,string
properties.produced,date
properties.services.browse.layers.name,string
properties.parentIdentifier,string
properties.keywords.id,id
properties.nbRows,integer
type,string
properties.centroid.type,string
properties.collection,string
