concept,type
datasetVersion.metadataBlocks.citation.fields.value.contributorType.value,string
datasetVersion.metadataBlocks.citation.fields.value.grantNumberAgency.multiple,string
datasetVersion.datasetPersistentId,id
datasetVersion.metadataBlocks.citation.fields.value.producerURL.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.producerName.value,string
authority,string
datasetVersion.metadataBlocks.citation.fields.value.authorAffiliation.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.dsDescriptionValue.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.softwareName.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.softwareVersion.typeClass,string
storageIdentifier,id
datasetVersion.metadataBlocks.geospatial.fields.value.country.multiple,string
datasetVersion.metadataBlocks.citation.displayName,string
datasetVersion.files.dataFile.md5,string
datasetVersion.metadataBlocks.citation.fields.value.producerLogoURL.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.distributorURL.value,URL
datasetVersion.metadataBlocks.citation.fields.value.keywordValue.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.datasetContactAffiliation.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifierScheme.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.publicationIDNumber.value,id
datasetVersion.metadataBlocks.citation.fields.value.seriesName.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.softwareVersion.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.dsDescriptionDate.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifierScheme.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.distributorURL.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.topicClassVocab.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.distributorURL.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.grantNumberAgency.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredEnd.typeName,string
datasetVersion.versionMinorNumber,integer
datasetVersion.metadataBlocks.citation.fields.value.publicationCitation.value,string
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredStart.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.distributorName.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.publicationCitation.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.keywordValue.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.distributorLogoURL.multiple,string
datasetVersion.metadataBlocks.citation.fields.value.authorIdentifierScheme.multiple,string
datasetVersion.files.datasetVersionId,id
datasetVersion.metadataBlocks.citation.fields.value.timePeriodCoveredEnd.typeClass,string
datasetVersion.metadataBlocks.citation.fields.value.datasetContactName.typeName,string
datasetVersion.metadataBlocks.citation.fields.value.datasetContactAffiliation.value,string
datasetVersion.metadataBlocks.citation.fields.value.grantNumberAgency.value,string
datasetVersion.metadataBlocks.citation.fields.value.keywordVocabulary.multiple,string
