concept,type
resources.metadata_modified,date
caveats,string
tags,string
data_update_frequency,string
license_title,string
name,string
resources.microdata,string
resources.description,string
last_modified,date
resources.created,date
resources.id,id
notes,string
methodology,string
resources.format,string
resources.last_modified,date
resources.resource_type,string
resources.download_url,URL
dataset_source,string
resources.mimetype,string
dataset_date,string
resources.dataset_id,id
methodology_other,string
resources.size,string
organization,string
doc_id,id
groups,string
title,string
resources.name,string
