concept,type
default.geographic_reference_auto,string
default.theme,string
default.bbox,string
default.records_count,integer
default.source_domain,string
dcat.granularity,string
default.shared_catalog,string
inspire.extend_description,string
default.publisher,string
semantic.classes,string
default.metadata_languages,string
default.oauth_scope,string
default.source_domain_title,string
default.attributions,string
dcat.contact_email,mail
default.territory,string
default.source_domain_address,url
inspire.extend_bounding_box_northbound_latitude,string
dcat.publisher_type,string
inspire.contact_position,string
inspire.contact_address,string
inspire.topologic_consistency,string
default.parent_domain,string
inspire.hierarchy_level_name,string
dcat.created,date
default.timezone,string
default.modified,date
semantic.rml_mapping,string
default.geographic_reference,string
default.license,string
dcat.temporal_coverage_end,string
default.data_processed,date
inspire.spatial_resolution,string
default.modified_updates_on_data_change,string
inspire.extend_bounding_box_westbound_longitude,integer
dcat.creator,string
default.language,string
default.geometry_types,string
custom.diffuseur,string
dcat.dataquality,string
inspire.extend_bounding_box_southbound_latitude,integer
dcat.contributor,string
default.title,string
inspire.contact_email,mail
custom.referential,string
semantic.properties,string
inspire.contact_individual_name,string
dcat.spatial,string
dcat.contact_name,string
default.references,string
default.metadata_processed,date
dcat.accrualperiodicity,string
inspire.hierarchy_level,string
default.license_url,URL
default.federated,string
inspire.extend_bounding_box_eastbound_longitude,integer
inspire.type,string
dcat.conforms_to,string
dcat.issued,date
dcat.temporal_coverage_start,date
dcat.accessRights,string
custom.gestionnaire,string
inspire.identification_purpose,string
default.source_dataset,string
default.description,string
default.modified_updates_on_metadata_change,string
inspire.theme,string
dcat.temporal,string
datasetid,id
inspire.file_identifier,id
default.keyword,string
