concept,type
hits.md.centroid.type,string
nbhits,integer
hits.data._services.download.name,string
hits.md.id,string
hits.data.metadata.core.identity.collection_en,string
hits.data.metadata.ObservationContext.observedProperty_en,string
hits.data.metadata.ObservationContext.processusUsed.platform_en,string
hits.data.metadata.core.identity.lifecycle.updateFrequency_en,string
hits.data.metadata.core.identity.parentIdentifier,string
hits.data._keywords.state,string
hits.data._sensorType_en,string
hits.md.timestamp,date
hits.data.metadata.core.description.processingLevel_fr,string
hits.data._attachments.description,string
hits.data.metadata.core.identity.lifecycle.updated,date
hits.data._attachments.description_fr,string
hits.data._keywords.theme,string
hits.data._keywords.year,date
hits.data._services.WMS.url,URL
hits.data.id,string
hits.md.centroid.crs.type,string
hits.data.metadata.core.graphics.quicklook,URL
hits.data.metadata.core.description.resourceAbstract,integer
hits.data._services.download.description,string
hits.data.metadata.ObservationContext.phenomenonTime.end,date
hits.data._geometry_wkt,string
hits.md.geometry.type,string
hits.data.metadata.core.description.processingLevel,string
hits.data._keywords.productType,string
hits.data.metadata.ObservationContext.observedProperty,string
hits.data.metadata.core.identity.identifier,string
collection,string
hits.data._isWMSEnabled,string
hits.data.metadata.ObservationContext.observedProperty_fr,string
hits.data.metadata.ObservationContext.eo.acquisition.relativeOrbitNumber,integer
hits.data.metadata.core.identity.source,URL
hits.data._keywords.day,integer
hits.data.metadata.core.identity.collection,string
hits.md.centroid.coordinates,integer
hits.data._services.download.mimeType,string
links.self.method,string
hits.data.harvestuuid,id
hits.data._isRadar,string
hits.data.metadata.core.graphics.thumbnail,string
hits.data.metadata.ObservationContext.processusUsed.sensor.resolution.uom,string
hits.data._services.WMS.description,string
hits.data.metadata.core.availability.status,string
hits.data._services.download.protocol,string
hits.data._attachments.label,string
hits.data._keywords.continent,string
hits.data._keywords.theme_en,string
hits.data.metadata.ObservationContext.phenomenonTime.begin,date
hits.data.metadata.ObservationContext.processusUsed.platform_fr,string
hits.data.metadata.services.url,URL
hits.data._keywords.region,string
hits.data._services.download.url,URL
hits.data._isDataOnLine,string
hits.data._keywords.sensorMode,string
hits.data.metadata.services.mimeType,string
hits.data.metadata.ObservationContext.eo.opt.waterCoverPercentage,integer
hits.data.metadata.core.keywords.origin,string
hits.data.metadata.services.name,string
hits.data._sensorType_fr,string
hits.data._keywords.collection,string
hits.data.metadata.services.description,string
hits.data._sensorType,string
hits.data._keywords.theme_fr,string
hits.data._keywords.instrument,string
hits.data._centroid_wkt,string
hits.data.metadata.core.locations.footprint.coordinates,list[integer]
hits.data._services.WMS.name,string
hits.data._keywords.country,string
hits.data.catalogueType,string
hits.data.metadata.core.identity.lifecycle.created,date
hits.data.metadata.core.description.resourceTitle,string
hits.data._keywords.city,string
hits.data.harvestdate,date
hits.data.metadata.core.temporalCoverage.end,date
hits.data.metadata.core.availability.archiveid,string
hits.data.metadata.ObservationContext.processusUsed.sensor.resolution.value,integer
hits.data.metadata.core.identity.lifecycle.updateFrequency,string
hits.data.metadata.core.keywords.value,string
hits.data.metadata.ObservationContext.eo.opt.cloudCoverPercentage,integer
hits.data._textLocation,string
hits.data._attachments.description_en,string
hits.data._services.WMS.protocol,string
hits.data.metadata.core.description.processingLevel_en,string
hits.data._isOptique,string
hits.md.centroid.crs.properties.name,string
hits.md.geometry.crs.type,string
hits.data._keywords.processingLevel,string
hits.data.metadata.core.contacts.organisationName,string
hits.data.metadata.core.identity.collection_fr,string
hits.data._attachments.url,URL
hits.data._isVisuEnabled,string
hits.data._keywords.season,string
hits.data._keywords.platform,string
hits.data._resolution,integer
hits.data._keywords.month,string
hits.md.geometry.crs.properties.name,string
hits.data._isWMTSEnabled,string
hits.data._keywords.location,string
links.self.href,URL
hits.data._isDownloadEnabled,string
hits.data.metadata.ObservationContext.eo.acquisition.orbitNumber,integer
hits.data.metadata.core.temporalCoverage.begin,date
totalnb,integer
hits.data.metadata.core.identity.lifecycle.updateFrequency_fr,string
hits.data.metadata.core.locations.footprint.type,string
hits.data.metadata.core.keywords.type,string
hits.data.metadata.ObservationContext.eo.opt.snowCoverPercentage,integer
hits.data._keywords.sea,string
hits.data.harvestername,string
hits.data.metadata.ObservationContext.processusUsed.platform,string
hits.data.metadata.services.protocol,string
hits.md.geometry.coordinates,list[integer]
